alpha_code,resolved_sci_name
CDA,Dorosoma petenense
DQX,Dorosoma
CHG,Anodontostoma chacunda
MHS,Brevoortia aurea
MHP,Brevoortia pectinata
MHA,Brevoortia tyrannus
MHG,Brevoortia patronus
RAS,Dussumieria acuta
RAL,Dussumieria elopsoides
BOA,Ethmalosa fimbriata
RRH,Etrumeus teres
WRR,Etrumeus whiteheadi
HCT,Harengula thrissina
SAS,Harengula
HIX,Hilsa kelee
HIL,Tenualosa ilisha
TOL,Tenualosa toli
CNS,Nematalosa nasus
THP,Opisthonema libertate
THA,Opisthonema oglinum
SRH,Spratelloides gracilis
DAS,Clupanodon thrissa
CLA,Clupeonella cultriventris
DOD,Konosirus punctatus
LCS,Lile stolifera
PIL,Sardina pilchardus
SPR,Sprattus sprattus
FAS,Sprattus fuegensis
MES,Ethmidium maculatum
HES,Herklotsichthys
LTM,Limnothrissa miodon
CKI,Strangomera bentincki
CLP,Clupeidae
DAG,Stolothrissa
ANE,Engraulis encrasicolus
JAN,Engraulis japonicus
ANA,Engraulis anchoita
NPA,Engraulis mordax
VET,Engraulis ringens
ANC,Engraulis capensis
STL,Encrasicholina punctifer
AVA,Cetengraulis edentulus
VEP,Cetengraulis mysticetus
EAM,Anchoa marinii
EAN,Anchoa nasus
ENP,Anchoa hepsetus
ANR,Lycengraulis grossidens
STO,Stolephorus
ANX,Engraulidae
DOB,Chirocentrus dorab
CNU,Chirocentrus nudus
DOS,Chirocentrus
EIL,Ilisha elongata
ILI,Ilisha africana
PEQ,Pellona flavipinnis
PEO,Pellona ditchela
DCX,Clupeoidei
CLU,Clupeoidei
MIL,Chanos chanos
SAL,Salmo salar
TRS,Salmo trutta
SFI,Salmo ischchan
TRO,Salmo
ONA,Oncorhynchus aguabonita
PIN,Oncorhynchus gorbuscha
CHU,Oncorhynchus keta
CHE,Oncorhynchus masou
SOC,Oncorhynchus nerka
CHI,Oncorhynchus tshawytscha
COH,Oncorhynchus kisutch
TRR,Oncorhynchus mykiss
ORC,Oncorhynchus
SVF,Salvelinus fontinalis
ACH,Salvelinus alpinus
LAT,Salvelinus namaycush
CHR,Salvelinus
HUC,Hucho hucho
SLZ,Salmonidae
TLV,Thymallus thymallus
PCA,Plecoglossus altivelis
CAP,Mallotus villosus
SME,Osmerus eperlanus
SMR,Osmerus mordax
PSM,Hypomesus olidus
SUS,Hypomesus pretiosus
HVJ,Hypomesus nipponensis
EUL,Thaleichthys pacificus
SMX,"Osmerus spp, Hypomesus spp"
ARU,Argentina silus
ARY,Argentina sphyraena
ARG,Argentina
DES,Glossanodon semifasciatus
PRS,Protosalanx hyalocranius
SZM,Salangichthys microdon
FVE,Coregonus albula
PLN,Coregonus lavaretus
HOU,Coregonus oxyrinchus
WHL,Coregonus clupeaformis
CIS,Coregonus artedi
CIJ,Coregonus peled
WHF,Coregonus
PCY,Prosopium cylindraceum
ALC,Alepocephalus bairdii
ALH,Alepocephalus
SLX,Salmonoidei
FPI,Esox lucius
MAV,Maurolicus muelleri
BRT,Borostomias antarcticus
ARP,Arapaima gigas
OOB,Osteoglossum bicirrhosum
OHB,Scleropages formosus
HTN,Heterotis niloticus
NCC,Chitala chitala
NCG,Chitala lopis
ONN,Notopterus notopterus
FKN,Notopterus
ONP,Papyrocranus afer
OEY,Mormyridae
OGN,Gymnarchus niloticus
CEW,Elops hawaiensis
LAD,Elops saurus
CEC,Elops lacerta
TAR,Megalops atlanticus
TAI,Megalops cyprinoides
BOF,Albula vulpes
BNF,Pterothrissus belloci
ALX,Alepisaurus ferox
MNL,Magnisudis atlantica
NOE,Notolepis
CVW,Chlorophthalmus agassizi
GRE,Chlorophthalmidae
BUC,Harpadon nehereus
SDR,Synodus saurus
LIG,Saurida tumbil
LIB,Saurida undosquamis
LIX,Synodontidae
LAN,Lampanyctodes hectoris
LAC,Lampanyctus achirus
BHQ,Benthosema pterotum
ELC,Electrona carlsbergi
GYN,Gymnoscopelus nicholsi
LXX,Myctophidae
AXF,Astyanax fasciatus
BZH,Brycon amazonicus
BNC,Brycon cephalus
BXN,Brycon hilarii
BNV,Brycon guatemalensis
BNO,Brycon orbignyanus
BVD,Brycon dentex
BCM,Brycon moorei
BXH,Brycon
MLD,Mylossoma duriventre
SXU,Salminus brasiliensis
PYE,Pygocentrus nattereri
RRX,Serrasalmus
CSM,Colossoma macropomum
CSD,Piaractus brachypomus
CSO,Piaractus mesopotamicus
TPU,Triportheus angulatus
CHA,Characidae
TXY,P. mesopotamicus x C. macropomum
TXZ,C. macropomum x P. brachypomus
LPU,Leporellus vittatus
OIA,Anostomoides laticeps
LPB,Leporinus obtusidens
LXZ,Leporinus
SZF,Schizodon fasciatus
CIV,Citharinus
HOA,Hoplias aimara
HWM,Hoplias microlepis
HWU,Hoplias malabaricus
HVW,Hoplias
HPU,Hoplerythrinus unitaeniatus
HED,Hepsetus odoe
PLL,Prochilodus lineatus
PLR,Prochilodus reticulatus
QPN,Prochilodus nigricans
QMR,Prochilodus mariae
PRL,Prochilodus
ICH,Ichthyoelephas humeralis
PNL,Potamorhina laticeps
PDB,Pseudocurimata boulengeri
SKI,Semaprochilodus insignis
CUU,Curimata cyprinoides
AEB,Alestes baremoze
XAE,Alestes
BCE,Brycinus leuciscus
BZC,Brycinus nurse
HCF,Hydrocynus forskahlii
HWV,Hydrolycus scomberoides
XES,Xenocharax spilurus
DSE,Distichodus
BUF,Ictiobus
CDO,Carpiodes carpio
CTM,Catostomidae
FBM,Abramis brama
FBR,Abramis
FCP,Cyprinus carpio
FTE,Tinca tinca
ALR,Alburnus alburnus
PTB,Barbus barbus
BUD,Barbus meridionalis
BBU,Barbus altianalis
BBK,Barbus callensis
BBZ,Barbus cyclolepis
HON,Chondrostoma nasus
FCC,Carassius carassius
CGO,Carassius auratus
WDX,Carassius
FRO,Rutilus rutilus
RFR,Rutilus frisii
RWC,Rutilus caspicus
FRX,Rutilus
SRE,Scardinius erythrophthalmus
FID,Leuciscus idus
LUC,Leuciscus cephaloides
FIE,Leuciscus leuciscus
LUH,Leuciscus cephalus
LEW,Leuciscus
LCB,Labeo calbasu
LBM,Labeo dussumieri
LRH,Labeo rohita
LOC,Labeo victorianus
RHI,Labeo
MUC,Cirrhinus molitorella
CMG,Cirrhinus mrigala
RNM,Cirrhinus microlepis
CTT,Catla catla
FCG,Ctenopharyngodon idella
YCA,Cyclocheilichthys apogon
YCQ,Cyclocheilichthys armatus
HML,Hampala macrolepidota
SVC,Hypophthalmichthys molitrix
BIC,Hypophthalmichthys nobilis
LZF,Labiobarbus festivus
FCN,Osteochilus hasseltii
PRJ,Probarbus jullieni
RSZ,Rasbora argyrotaenia
TWY,Thynnichthys vaillanti
TOB,Tor tambroides
TZD,Tor douronensis
ROG,Rohtee ogilbii
ENA,Rastrineobola argentea
AHT,Acanthobrama terraesanctae
ZAP,Zacco platypus
VIV,Vimba vimba
FSC,Pelecus cultratus
ASU,Aspius aspius
NUC,Chalcalburnus chalcoides
AWT,Chalcalburnus tarichi
BBR,Barbodes balleroides
FCH,Leptobarbus hoevenii
BKC,Mylopharyngodon piceus
OEC,Capoeta capoeta
WUB,Megalobrama amblycephala
PUI,Puntius binotatus
FAB,Puntius
ENL,Engraulicypris sardella
YHX,Hypsibarbus
MCO,Macrochirichthys macrochirus
MZP,Mystacoleucus padangensis
ARH,Neolissochilus hexagonolepis
OBL,Osteobrama belangeri
WPU,Puntioplites waandersi
SZU,Schizothorax curvifrons
QEZ,Schizothorax
PUS,Systomus sarana
ABK,Blicca bjoerkna
PTG,Barbonymus gonionotus
BFS,Barbonymus schwanenfeldii
VBE,Varicorhinus beso
FCY,Cyprinidae
KUR,Misgurnus anguillicaudatus
MWT,Misgurnus fossilis
BMW,Chromobotia macracanthus
TWS,Cathorops spixii
AXP,Arius proops
AWX,Arius
BEM,Bagre marinus
GAT,Galeichthys feliceps
AUX,Netuma thalassina
CAX,Ariidae
DPZ,Doraops zuloagai
PYS,Platydoras costatus
DPG,Pterodoras granulosus
GJZ,Ageneiosus inermis
CAE,Plotosus
SOM,Silurus glanis
SRO,Silurus asotus
CAG,Kryptopterus
OKB,Ompok bimaculatus
WAA,Wallago attu
WAX,Wallago
AUO,Auchenoglanis occidentalis
AUB,Auchenoglanis biscutatus
MYN,Hemibagrus nemurus
JBZ,Lophiobagrus cyclurus
LLZ,Leiocassis longirostris
BMZ,Mystus nigriceps
CSR,Chrysichthys nigrodigitatus
BCR,Chrysichthys brachynema
IQL,Chrysichthys platycephalus
IQM,Chrysichthys sianenna
IQN,Chrysichthys stappersii
CST,Chrysichthys
BGJ,Bagrus bajad
CAN,Bagrus
YCH,Pelteobagrus fulvidraco
ITP,Ictalurus punctatus
ITF,Ictalurus furcatus
CAF,Ictalurus
ITM,Ameiurus melas
ITE,Ameiurus nebulosus
IPO,Pylodictis olivaris
ILP,Parailia pellucida
CBT,Clarias batrachus
CFS,Clarias fuscus
CLZ,Clarias gariepinus
CLN,Clarias anguillaris
CTO,Clarias
CGM,Clarias gariepinus
HEB,Heterobranchus bidorsalis
HEL,Heterobranchus longifilis
MPC,Malapterurus electricus
BPF,Brachyplatystoma filamentosum
BPT,Brachyplatystoma vaillanti
BXP,Brachyplatystoma rousseauxii
HYM,Calophysus macropterus
HBY,Hemisorubim platyrhynchos
LSX,Lophiosilurus alexandri
RMQ,Rhamdia quelen
PMB,Pimelodus albicans
MDM,Pimelodus maculatus
MXW,Pimelodus
SBM,Sorubim lima
PEH,Phractocephalus hemioliopterus
MDI,Pinirampus pirinampu
UDC,Pseudoplatystoma corruscans
UDF,Pseudoplatystoma fasciatum
UDT,Pseudoplatystoma tigrinum
UPY,Pseudoplatystoma
ZUZ,Zungaro zungaro
LPI,Luciopimelodus pati
HPN,Hypophthalmus edentatus
HBU,Hypophthalmus
HTM,Hatcheria macraei
HSR,Hoplosternum littorale
LCC,Loricaria cataphracta
QYP,Pterygoplichthys pardalis
HSL,Hypostomus plecostomus
PGP,Pangasius pangasius
PQZ,Pangasius djambal
PGZ,Pangasius
PGS,Pangasianodon hypophthalmus
HTF,Heteropneustes fossilis
CSY,Synodontis
FSI,Siluroidei
ELE,Anguilla anguilla
ELJ,Anguilla japonica
ELA,Anguilla rostrata
ELU,Anguilla australis
AAR,Anguilla reinhardtii
ELX,Anguilla
AGK,Gymnothorax unicolor
MMH,Muraena helena
MUI,Muraenidae
DPC,Muraenesox cinereus
PCX,Muraenesox
CXP,Cynoponticus coniceps
COE,Conger conger
COS,Conger orbignyanus
COA,Conger oceanicus
ELS,Conger myriaster
COX,Congridae
AOM,Echelus myrus
OWX,Ophichthidae
SDC,Diastobranchus capensis
GAR,Belone belone
BAF,Ablennes hians
NFA,Strongylura marina
BTS,Tylosurus crocodilus
NED,Tylosurus
BEN,Belonidae
SAU,Scomberesox saurus
SAP,Cololabis saira
HAJ,Hyporhamphus sajori
BAL,Hemiramphus brasiliensis
BHA,Hemiramphus balao
JKX,Hemiramphidae
JFL,Cypselurus agoo
FLY,Exocoetidae
MOY,Muraenolepis microps
MRL,Muraenolepis
MHJ,Halargyreus johnsonii
LMG,Laemonema longipes
RIB,Mora moro
NEC,Pseudophycis bachus
TPG,Tripterophycis gilchristi
ANT,Antimora rostrata
SAO,Salilota australis
MOR,Moridae
UNC,Bregmaceros mcclellandi
USK,Brosme brosme
COD,Gadus morhua
PCO,Gadus macrocephalus
GRC,Gadus ogac
FBU,Lota lota
LIN,Molva molva
BLI,Molva dypterygia
SLI,Molva macrophthalma
LNZ,Molva
GFB,Phycis blennoides
FOR,Phycis phycis
GPE,Phycis chesteri
FOX,Phycis
HKU,Urophycis brasiliensis
HKR,Urophycis chuss
HKW,Urophycis tenuis
HAD,Melanogrammus aeglefinus
COW,Eleginus navaga
SAF,Eleginus gracilis
MGX,Microgadus proximus
TOM,Microgadus tomcod
POK,Pollachius virens
POL,Pollachius pollachius
ALK,Theragra chalcogramma
POC,Boreogadus saida
GDG,Gadiculus argenteus
GDE,Gaidropsarus ensis
ROL,Gaidropsarus
NOP,Trisopterus esmarkii
POD,Trisopterus minutus
BIB,Trisopterus luscus
WHB,Micromesistius poutassou
POS,Micromesistius australis
WHG,Merlangius merlangus
ENC,Enchelyopus cimbrius
HKE,Merluccius merluccius
HKM,Merluccius senegalensis
HKN,Merluccius australis
HKS,Merluccius bilinearis
PHA,Merluccius gayi
HKP,Merluccius hubbsi
NHA,Merluccius productus
HKB,Merluccius polli
HKO,Merluccius paradoxus
HOF,Merluccius albidus
MRG,Merluccius angustimanus
HKK,Merluccius capensis
HKX,Merluccius
HKC,Merluccius capensis
GRM,Macruronus magellanicus
GRN,Macruronus novaezelandiae
RHG,Macrourus berglax
WGR,Macrourus whitsoni
MCC,Macrourus carinatus
MCH,Macrourus holotrachys
QMC,Macrourus caml
GRV,Macrourus
RNG,Coryphaenoides rupestris
MCS,Coryphaenoides subserrulatus
CVY,Coryphaenoides
CQO,Coelorinchus chilensis
TSU,Trachyrincus scabrus
MNI,Cynomacrurus piriei
NZA,Nezumia aequalis
LDE,Lepidorhynchus denticulatus
RTX,Macrouridae
GAD,Gadiformes
GTA,Gasterosteus aculeatus
KLA,Hypoptychus dybowskii
FUC,Fistularia corneta
FUT,Fistularia tabacaria
FIO,Fistularia commersonii
SNS,Macroramphosus scolopax
NLD,Notopogon lilliei
CUQ,Centriscops humerosus
LAG,Lampris guttatus
LAI,Lampris immaculatus
TRQ,Trachipterus trachypterus
TPA,Trachipterus arcticus
TRP,Trachipterus
REL,Regalecus glesne
CUS,Genypterus blacodes
CUC,Genypterus chilensis
CUB,Genypterus maculatus
KCP,Genypterus capensis
CEX,Genypterus
BRD,Brotula barbata
OPH,Ophidiidae
BBF,Barbourisia rufa
PXV,Polymixia nobilis
BXD,Beryx decadactylus
BYS,Beryx splendens
ALF,Beryx
CXF,Centroberyx affinis
HPR,Hoplostethus mediterraneus
ORY,Hoplostethus atlanticus
TPT,Paratrachichthys trailli
TRC,Trachichthyidae
HOO,Holocentrus ascensionis
HVS,Sargocentron spiniferum
HWH,Sargocentron rubrum
HCZ,Holocentridae
JOD,Zeus faber
ZCP,Zeus capensis
JOS,Zenopsis conchifer
ZNE,Zenopsis nebulosus
ZCA,Capromimus abbreviatus
ZCN,Cyttus novaezealandiae
ZCT,Cyttus traversi
ZEX,Zeidae
BOC,Capros aper
BOR,Caproidae
ONV,Neocyttus rhomboidalis
SSO,Pseudocyttus maculatus
BOE,Allocyttus niger
ALL,Allocyttus verrucosus
ORD,Oreosomatidae
ODR,Odontesthes regia
BCB,Odontesthes bonariensis
OWM,Odontesthes smitti
ATB,Atherina boyeri
AHH,Atherina hepsetus
KRW,Chirostoma
SSA,Menidia menidia
SIL,Atherinidae
MUF,Mugil cephalus
MUB,Mugil liza
MGU,Mugil curema
MGI,Mugil incilis
MYZ,Mugil soiuy
MLR,Chelon labrosus
AJW,Agonostomus monticola
MUA,Joturus pichardi
MGC,Liza ramada
MGA,Liza aurata
LZS,Liza saliens
LZV,Liza vaigiensis
LZK,Liza klunzingeri
LZH,Liza abu
SOY,Liza haematocheilus
VMH,Valamugil seheli
MUL,Mugilidae
FLT,Monopterus albus
SXR,Synbranchus marmoratus
MWY,Mastacembelus erythrotaenia
JCB,Mastacembelus cunningtoni
CJX,Caesionidae
EPN,Centropomus ensiferus
SNO,Centropomus undecimalis
ROB,Centropomus
GIP,Lates calcarifer
LTG,Lates angustifrons
LSM,Lates mariae
LSL,Lates microlepis
NIP,Lates niloticus
IRQ,Lates stappersii
PEX,Lates
PWG,Psammoperca waigiensis
EHG,Aethaloperca rogaa
RNL,Caprodon longimanus
MAB,Mycteroperca bonaci
MKM,Mycteroperca microlepis
MKH,Mycteroperca phenax
MKU,Mycteroperca rubra
MKV,Mycteroperca venenosa
GBS,Mycteroperca xenarcha
MKN,Mycteroperca interstitialis
GPB,Mycteroperca
GPD,Epinephelus marginatus
GPW,Epinephelus aeneus
EPA,Epinephelus akaara
EEN,Epinephelus lanceolatus
EER,Epinephelus merra
EIF,Epinephelus septemfasciatus
EPT,Epinephelus tauvina
GPN,Epinephelus striatus
EFD,Epinephelus adscensionis
GPS,Epinephelus analogus
EED,Epinephelus drummondhayi
EEL,Epinephelus flavolimbatus
EEU,Epinephelus guttatus
GPR,Epinephelus morio
EEY,Epinephelus mystacinus
EFV,Epinephelus niveatus
EFJ,Epinephelus caninus
EEG,Epinephelus goreensis
EEP,Epinephelus morrhua
ELG,Epinephelus nigritus
EPR,Epinephelus areolatus
MAR,Epinephelus malabaricus
EFK,Epinephelus bleekeri
EFH,Epinephelus chlorostigma
ENI,Epinephelus coioides
EEK,Epinephelus polyphekadion
EWC,Epinephelus caeruleopunctatus
EWF,Epinephelus fuscoguttatus
EWU,Epinephelus multinotatus
EWL,Epinephelus tukula
EWY,Epinephelus polylepis
EWS,Epinephelus summana
GPX,Epinephelus
CBR,Serranus cabrilla
SRK,Serranus scriba
WSA,Serranus atricauda
BAS,Serranus
LDP,Lepidoperca pulchella
BSB,Centropristis striata
FHC,Centropristis philadelphica
CFL,Cephalopholis cruentata
CFJ,Cephalopholis fulva
CFF,Cephalopholis argus
CFH,Cephalopholis hemistiktos
CFI,Cephalopholis miniata
CVK,Cephalopholis boenak
MPV,Cromileptes altivelis
PLM,Plectropomus maculatus
EME,Plectropomus areolatus
EMO,Plectropomus leopardus
EMU,Plectropomus pessuliferus
BSZ,Acanthistius brasilianus
BAP,Paralabrax humeralis
XBX,Paralabrax
VRL,Variola louti
BSX,Serranidae
QOF,Scortum barcoo
TEU,Terapon puta
TEH,Terapon theraps
THO,Terapon
PQD,Pelates quadrilineatus
BYB,Bidyanus bidyanus
WRF,Polyprion americanus
WHA,Polyprion oxygeneios
TEJ,Stereolepis gigas
STB,Morone saxatilis
PEW,Morone americana
ROY,Morone chrysops
SBH,Morone chrysops
SPU,Dicentrarchus punctatus
BSS,Dicentrarchus labrax
BSE,Dicentrarchus
MCP,Maccullochella peelii
SIN,Siniperca chuatsi
MCA,Macquaria ambigua
LMM,Lepomis macrochirus
MPS,Micropterus salmoides
AKR,Ambloplites rupestris
PXR,Pomoxis annularis
PQR,Priacanthus arenatus
BIR,Priacanthus macracanthus
BIG,Priacanthus
APO,Apogonidae
OEB,Doederleinia berycoides
SYN,Synagrops japonicus
FPE,Perca fluviatilis
FPY,Perca flavescens
PND,Percarina demidoffi
ACC,Gymnocephalus cernuus
STV,Sander vitreus
SAV,Sander volgensis
FPP,Sander lucioperca
SZC,Sander canadensis
ILS,Sillago sihama
WHS,Sillaginidae
ULM,Caulolatilus microps
ULP,Caulolatilus princeps
CKZ,Caulolatilus chrysops
TIL,Lopholatilus chamaeleonticeps
TIS,Branchiostegidae
MWP,Malacanthus plumieri
TRF,Lactarius lactarius
BLU,Pomatomus saltatrix
CBA,Rachycentron canadum
LSJ,Alepes djedaba
TUM,Atule mate
HOM,Trachurus trachurus
JAA,Trachurus picturatus
JJM,Trachurus japonicus
CJM,Trachurus murphyi
PJM,Trachurus symmetricus
HMM,Trachurus mediterraneus
RSC,Trachurus lathami
HMC,Trachurus capensis
HMZ,Trachurus trecae
HMG,Trachurus declivis
JAX,Trachurus
TRZ,Pseudocaranx dentex
WEC,Decapterus punctatus
DCC,Decapterus macrosoma
RSA,Decapterus maruadsi
RUS,Decapterus russelli
SDX,Decapterus
NXC,Caranx caballus
NXI,Caranx ignobilis
NXM,Caranx melampygus
NXS,Caranx senegallus
CXS,Caranx sexfasciatus
RUB,Caranx crysos
CVJ,Caranx hippos
CXR,Caranx ruber
HMY,Caranx rhonchus
NBR,Caranx bartholomaei
TRE,Caranx
MOA,Selene setapinnis
LUK,Selene dorsalis
LNP,Selene peruviana
LNM,Selene vomer
POO,Trachinotus blochii
POM,Trachinotus carolinus
POP,Trachinotus ovatus
TNF,Trachinotus falcatus
TUK,Trachinotus mookalee
POX,Trachinotus
AMB,Seriola dumerili
AMJ,Seriola quinqueradiata
YTC,Seriola lalandi
RLF,Seriola fasciata
YTL,Seriola rivoliana
RLZ,Seriola zonata
AMX,Seriola
OLP,Oligoplites palometa
OLG,Oligoplites refulgens
NAU,Naucrates ductor
LEE,Lichia amia
ALA,Alectis alexandrinus
LIJ,Alectis ciliaris
POB,Parastromateus niger
NGJ,Carangoides bajad
NGU,Carangoides fulvoguttatus
NGS,Carangoides malabaricus
RRU,Elagatis bipinnulata
GLT,Gnathanodon speciosus
HAS,Megalaspis cordyla
OBM,Scomberoides commersonnianus
OBY,Scomberoides lysan
OBJ,Scomberoides tol
QUE,Scomberoides
BUA,Chloroscombrus chrysurus
HSO,Chloroscombrus orqueta
PAO,Parona signata
BIS,Selar crumenophthalmus
TRY,Selaroides leptolepis
RNJ,Seriolina nigrofasciata
VAD,Campogramma glaycos
CGX,Carangidae
MOO,Mene maculata
POA,Brama brama
BRU,Brama australis
TST,Taractichthys steindachneri
BPB,Pterycombus brama
BRZ,Bramidae
DOL,Coryphaena hippurus
RUF,Arripis georgianus
ASA,Arripis trutta
EMM,Emmelichthys nitidus
RYG,Plagiogeneion rubiginosum
EYO,Erythrocles monodi
EMT,Emmelichthyidae
RES,Lutjanus argentimaculatus
LJT,Lutjanus erythropterus
LJH,Lutjanus johnii
MAL,Lutjanus malabaricus
LUB,Lutjanus sebae
LUJ,Lutjanus vitta
LJN,Lutjanus analis
HUS,Lutjanus argentiventris
SNC,Lutjanus purpureus
LJU,Lutjanus buccanella
